season;strata;sex;age;КС;НП;ПО;count
2022/2023;Мужчины, 50‒79;Мужчины;50‒79;1;0;0;186
2022/2023;Мужчины, 50‒79;Мужчины;50‒79;1;0;1;37
2022/2023;Мужчины, 50‒79;Мужчины;50‒79;1;1;0;30
2022/2023;Мужчины, 50‒79;Мужчины;50‒79;1;1;1;11
2023/2024;Женщины, 18‒34;Женщины;18‒34;0;0;0;0
2023/2024;Женщины, 18‒34;Женщины;18‒34;0;0;1;4
2023/2024;Женщины, 18‒34;Женщины;18‒34;0;1;0;5
2023/2024;Женщины, 18‒34;Женщины;18‒34;0;1;1;1
2023/2024;Женщины, 18‒34;Женщины;18‒34;1;0;0;10
2023/2024;Женщины, 18‒34;Женщины;18‒34;1;0;1;3
2023/2024;Женщины, 18‒34;Женщины;18‒34;1;1;0;4
2023/2024;Женщины, 18‒34;Женщины;18‒34;1;1;1;1
2023/2024;Женщины, 35‒49;Женщины;35‒49;0;0;0;0
2023/2024;Женщины, 35‒49;Женщины;35‒49;0;0;1;13
2023/2024;Женщины, 35‒49;Женщины;35‒49;0;1;0;11
2023/2024;Женщины, 35‒49;Женщины;35‒49;0;1;1;1
2023/2024;Женщины, 35‒49;Женщины;35‒49;1;0;0;25
2023/2024;Женщины, 35‒49;Женщины;35‒49;1;0;1;6
2023/2024;Женщины, 35‒49;Женщины;35‒49;1;1;0;9
2023/2024;Женщины, 35‒49;Женщины;35‒49;1;1;1;3
2023/2024;Женщины, 50‒79;Женщины;50‒79;0;0;0;0
2023/2024;Женщины, 50‒79;Женщины;50‒79;0;0;1;8
2023/2024;Женщины, 50‒79;Женщины;50‒79;0;1;0;9
2023/2024;Женщины, 50‒79;Женщины;50‒79;0;1;1;0
2023/2024;Женщины, 50‒79;Женщины;50‒79;1;0;0;30
2023/2024;Женщины, 50‒79;Женщины;50‒79;1;0;1;3
2023/2024;Женщины, 50‒79;Женщины;50‒79;1;1;0;6
2023/2024;Женщины, 50‒79;Женщины;50‒79;1;1;1;4
2023/2024;Мужчины, 18‒34;Мужчины;18‒34;0;0;0;0
2023/2024;Мужчины, 18‒34;Мужчины;18‒34;0;0;1;62
2023/2024;Мужчины, 18‒34;Мужчины;18‒34;0;1;0;54
2023/2024;Мужчины, 18‒34;Мужчины;18‒34;0;1;1;7
2023/2024;Мужчины, 18‒34;Мужчины;18‒34;1;0;0;45
2023/2024;Мужчины, 18‒34;Мужчины;18‒34;1;0;1;15
2023/2024;Мужчины, 18‒34;Мужчины;18‒34;1;1;0;12
2023/2024;Мужчины, 18‒34;Мужчины;18‒34;1;1;1;8
2023/2024;Мужчины, 35‒49;Мужчины;35‒49;0;0;0;0
2023/2024;Мужчины, 35‒49;Мужчины;35‒49;0;0;1;139
2023/2024;Мужчины, 35‒49;Мужчины;35‒49;0;1;0;91
2023/2024;Мужчины, 35‒49;Мужчины;35‒49;0;1;1;22
2023/2024;Мужчины, 35‒49;Мужчины;35‒49;1;0;0;131
2023/2024;Мужчины, 35‒49;Мужчины;35‒49;1;0;1;40
2023/2024;Мужчины, 35‒49;Мужчины;35‒49;1;1;0;29
2023/2024;Мужчины, 35‒49;Мужчины;35‒49;1;1;1;18
2023/2024;Мужчины, 50‒79;Мужчины;50‒79;0;0;0;0
2023/2024;Мужчины, 50‒79;Мужчины;50‒79;0;0;1;73
2023/2024;Мужчины, 50‒79;Мужчины;50‒79;0;1;0;79
2023/2024;Мужчины, 50‒79;Мужчины;50‒79;0;1;1;14
2023/2024;Мужчины, 50‒79;Мужчины;50‒79;1;0;0;160
2023/2024;Мужчины, 50‒79;Мужчины;50‒79;1;0;1;31
2023/2024;Мужчины, 50‒79;Мужчины;50‒79;1;1;0;26
2023/2024;Мужчины, 50‒79;Мужчины;50‒79;1;1;1;9
2024/2025;Женщины, 18‒34;Женщины;18‒34;0;0;0;0
2024/2025;Женщины, 18‒34;Женщины;18‒34;0;0;1;6
2024/2025;Женщины, 18‒34;Женщины;18‒34;0;1;0;3
2024/2025;Женщины, 18‒34;Женщины;18‒34;0;1;1;1
2024/2025;Женщины, 18‒34;Женщины;18‒34;1;0;0;10
2024/2025;Женщины, 18‒34;Женщины;18‒34;1;0;1;1
2024/2025;Женщины, 18‒34;Женщины;18‒34;1;1;0;2
2024/2025;Женщины, 18‒34;Женщины;18‒34;1;1;1;1
2024/2025;Женщины, 35‒49;Женщины;35‒49;0;0;0;0
2024/2025;Женщины, 35‒49;Женщины;35‒49;0;0;1;23
2024/2025;Женщины, 35‒49;Женщины;35‒49;0;1;0;8
2024/2025;Женщины, 35‒49;Женщины;35‒49;0;1;1;1
2024/2025;Женщины, 35‒49;Женщины;35‒49;1;0;0;30
2024/2025;Женщины, 35‒49;Женщины;35‒49;1;0;1;2
2024/2025;Женщины, 35‒49;Женщины;35‒49;1;1;0;2
2024/2025;Женщины, 35‒49;Женщины;35‒49;1;1;1;4
2024/2025;Женщины, 50‒79;Женщины;50‒79;0;0;0;0
2024/2025;Женщины, 50‒79;Женщины;50‒79;0;0;1;22
2024/2025;Женщины, 50‒79;Женщины;50‒79;0;1;0;11
2024/2025;Женщины, 50‒79;Женщины;50‒79;0;1;1;2
2024/2025;Женщины, 50‒79;Женщины;50‒79;1;0;0;36
2024/2025;Женщины, 50‒79;Женщины;50‒79;1;0;1;6
2024/2025;Женщины, 50‒79;Женщины;50‒79;1;1;0;9
2024/2025;Женщины, 50‒79;Женщины;50‒79;1;1;1;2
2024/2025;Мужчины, 18‒34;Мужчины;18‒34;0;0;0;0
2024/2025;Мужчины, 18‒34;Мужчины;18‒34;0;0;1;59
2024/2025;Мужчины, 18‒34;Мужчины;18‒34;0;1;0;34
2024/2025;Мужчины, 18‒34;Мужчины;18‒34;0;1;1;8
2024/2025;Мужчины, 18‒34;Мужчины;18‒34;1;0;0;45
2024/2025;Мужчины, 18‒34;Мужчины;18‒34;1;0;1;20
2024/2025;Мужчины, 18‒34;Мужчины;18‒34;1;1;0;16
2024/2025;Мужчины, 18‒34;Мужчины;18‒34;1;1;1;4
2024/2025;Мужчины, 35‒49;Мужчины;35‒49;0;0;0;0
2024/2025;Мужчины, 35‒49;Мужчины;35‒49;0;0;1;164
2024/2025;Мужчины, 35‒49;Мужчины;35‒49;0;1;0;100
2024/2025;Мужчины, 35‒49;Мужчины;35‒49;0;1;1;15
2024/2025;Мужчины, 35‒49;Мужчины;35‒49;1;0;0;126
2024/2025;Мужчины, 35‒49;Мужчины;35‒49;1;0;1;49
2024/2025;Мужчины, 35‒49;Мужчины;35‒49;1;1;0;29
