year_season;strata;sex;age;obs;unobs;est;ci_lower;ci_upper;method;degenerate_share;n_boot_used
2021/2022;Женщины, 50‒79;Женщины;50‒79;83;251;334;223;498;loglin_saturated;;
2021/2022;Женщины, 50‒79;Женщины;50‒79;83;160;243;172;433;zelterman;0.0;1000.0
2021/2022;Мужчины;Мужчины;total;1363;1937;3300;3022;3686;chao;0.0;1000.0
2021/2022;Мужчины;Мужчины;total;1363;1404;2767;2473;3122;loglin_nonsaturated;;
2021/2022;Мужчины;Мужчины;total;1363;3557;4920;3655;7071;loglin_saturated;;
2021/2022;Мужчины;Мужчины;total;1363;1956;3319;3025;3750;zelterman;0.0;1000.0
2021/2022;Мужчины, 18‒34;Мужчины;18‒34;286;383;669;557;862;chao;0.0;1000.0
2021/2022;Мужчины, 18‒34;Мужчины;18‒34;286;236;522;442;608;loglin_nonsaturated;;
2021/2022;Мужчины, 18‒34;Мужчины;18‒34;286;597;883;644;1284;loglin_saturated;;
2021/2022;Мужчины, 18‒34;Мужчины;18‒34;286;398;684;558;900;zelterman;0.0;1000.0
2021/2022;Мужчины, 35‒49;Мужчины;35‒49;636;854;1490;1311;1726;chao;0.0;1000.0
2021/2022;Мужчины, 35‒49;Мужчины;35‒49;636;610;1246;1094;1409;loglin_nonsaturated;;
2021/2022;Мужчины, 35‒49;Мужчины;35‒49;636;1546;2182;1604;3179;loglin_saturated;;
2021/2022;Мужчины, 35‒49;Мужчины;35‒49;636;859;1495;1309;1746;zelterman;0.0;1000.0
2021/2022;Мужчины, 50‒79;Мужчины;50‒79;441;700;1141;965;1396;chao;0.0;1000.0
2021/2022;Мужчины, 50‒79;Мужчины;50‒79;441;558;999;874;1189;loglin_nonsaturated;;
2021/2022;Мужчины, 50‒79;Мужчины;50‒79;441;1414;1855;1370;2803;loglin_saturated;;
2021/2022;Мужчины, 50‒79;Мужчины;50‒79;441;698;1139;953;1409;zelterman;0.0;1000.0
2022/2023;total;total;total;1475;2161;3636;3367;4153;chao;0.0;998.0
2022/2023;total;total;total;1475;1375;2850;2603;3132;loglin_nonsaturated;;
2022/2023;total;total;total;1475;2687;4162;3073;5987;loglin_saturated;;
2022/2023;total;total;total;1475;2145;3620;3334;4160;zelterman;0.0;998.0
2022/2023;Женщины;Женщины;total;208;357;565;454;939;chao;0.0;998.0
2022/2023;Женщины;Женщины;total;208;198;406;348;472;loglin_nonsaturated;;
2022/2023;Женщины;Женщины;total;208;388;596;427;871;loglin_saturated;;
2022/2023;Женщины;Женщины;total;208;362;570;452;967;zelterman;0.0;998.0
2022/2023;Женщины, 18‒34;Женщины;18‒34;36;84;120;67;325;chao;0.0;998.0
2022/2023;Женщины, 18‒34;Женщины;18‒34;36;31;67;47;92;loglin_nonsaturated;;
